Protocol,Flow Duration,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Std,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Packet Length Min,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Std,Idle Std,Label,Traffic Type,Traffic Subtype,Fwd_Bwd_Packet_Ratio,Fwd_Bwd_Length_Ratio,Fwd_Bwd_PacketLengthMean_Ratio,Avg_Bytes_per_s,Active_Idle_Ratio,Win_Init_Ratio,cluster
17.0,13750759.0,5.5677643628300215,44.0,5.5677643628300215,0.4363395504204531,2750151.8,4624209.0791774,13741882.0,6870941.0,5394790.576889709,13747496.0,6873748.0,5410375.21034706,0.0,0.0,0.0,0.0,24.0,24.0,44.0,49.14285714285714,5.080307452263477,25.80952380952382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.333333333333336,0.0,0.0,0.0,1.0,75.0,1.0,75.0,2.0,8.0,0.0,0.0,Malicious,Bruteforce,Bruteforce DNS,0.9999996666667778,0.9999999933333334,0.9999999800000005,7.417772357147704,0.0003054565320751,0.0,0.0
17.0,6890032.0,3.5355339059327378,49.0,3.5355339059327378,0.5805488276396975,2296677.333333333,3971723.872272887,6886861.0,6886861.0,0.0,6886000.0,6886000.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,49.0,52.0,2.7386127875258306,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,0.0,0.0,0.0,2.0,103.0,2.0,103.0,1.0,8.0,0.0,0.0,Malicious,Bruteforce,Bruteforce DNS,0.99999950000025,0.9999999902912624,0.9999999805825248,10.159604483694704,0.0005858056331196,0.0,0.0
17.0,6892789.0,0.7071067811865476,39.0,0.7071067811865476,0.5803166178451132,2297596.333333333,3969343.148331388,6887054.0,6887054.0,0.0,6886734.0,6886734.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,39.0,39.6,0.5477225575051661,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.5,0.0,0.0,0.0,2.0,79.0,2.0,79.0,1.0,8.0,0.0,0.0,Malicious,Bruteforce,Bruteforce DNS,0.99999950000025,0.9999999873417724,0.999999974683545,7.834274340909029,0.0008799594361224,0.0,0.0
17.0,6893518.0,2.8284271247461903,36.0,2.8284271247461903,0.5802552484812544,2297839.333333333,3973053.3471820303,6890611.0,6890611.0,0.0,6888433.0,6888433.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,36.0,37.6,2.1908902300206643,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,0.0,0.0,0.0,2.0,76.0,2.0,76.0,1.0,8.0,0.0,0.0,Malicious,Bruteforce,Bruteforce DNS,0.99999950000025,0.9999999868421054,0.9999999736842112,7.543318230256307,0.0007385056711715,0.0,0.0
17.0,13770814.0,2.6457513110645907,44.0,2.6457513110645907,0.4357040912759405,2754162.8,3874998.0526672783,13761485.0,6880742.5,1875048.4867012107,13762846.0,6881423.0,1876306.4296649413,0.0,0.0,0.0,0.0,24.0,24.0,44.0,45.71428571428572,2.2886885410853184,5.238095238095243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.333333333333336,0.0,0.0,0.0,1.0,69.0,1.0,69.0,2.0,8.0,147.78531726798843,1875196.2720184787,Malicious,Bruteforce,Bruteforce DNS,0.9999996666667778,0.9999999927536232,0.99999997826087,6.826030763323068,0.0011441347941668,0.0,0.0
17.0,13775183.0,5.131601439446884,42.0,5.131601439446884,0.4355659013749581,2755036.6,5403243.581268505,13766404.0,6883202.0,7758368.532110987,13766625.0,6883312.5,7749372.012533952,0.0,0.0,0.0,0.0,24.0,24.0,42.0,47.85714285714286,4.220133150686575,17.809523809523796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.833333333333336,0.0,0.0,0.0,1.0,71.0,1.0,71.0,2.0,8.0,0.0,0.0,Malicious,Bruteforce,Bruteforce DNS,0.9999996666667778,0.999999993006993,0.9999999790209796,7.0658468445270985,0.0006923590277168,0.0,0.0
17.0,6917978.0,9.192388155425116,43.0,9.192388155425116,0.5782036311766242,2305992.666666667,3972954.135703096,6909430.0,6909430.0,0.0,6902111.0,6902111.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,43.0,48.2,7.12039324756716,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.25,0.0,0.0,0.0,2.0,99.0,2.0,99.0,1.0,8.0,0.0,0.0,Malicious,Bruteforce,Bruteforce DNS,0.99999950000025,0.99999998989899,0.9999999797979804,9.733094458139842,0.0023017124816292,0.0,0.0
17.0,6907439.0,14.849242404917495,43.0,14.849242404917495,0.5790858232696662,2302479.666666667,3964232.675011185,6884525.0,6884525.0,0.0,6902883.0,6902883.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,43.0,55.6,11.502173707608488,132.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.5,0.0,0.0,0.0,2.0,107.0,2.0,107.0,1.0,8.0,0.0,0.0,Malicious,Bruteforce,Bruteforce DNS,0.99999950000025,0.9999999906542058,0.9999999813084116,10.520059122732269,0.0006622122861308,0.0,0.0
17.0,6907689.0,1.4142135623730951,43.0,1.4142135623730951,0.5790648652537773,2302563.0,3977869.540056838,6900922.0,6900922.0,0.0,6902578.0,6902578.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,43.0,43.8,1.095445115010332,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.75,0.0,0.0,0.0,2.0,88.0,2.0,88.0,1.0,8.0,0.0,0.0,Malicious,Bruteforce,Bruteforce DNS,0.99999950000025,0.9999999886363636,0.9999999772727278,8.685972978806658,0.0007411746058584,0.0,0.0
17.0,6915398.0,15.556349186104043,39.0,15.556349186104043,0.5784193476644439,2305132.666666667,3985290.715148687,6911259.0,6911259.0,0.0,6911089.0,6911089.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,39.0,52.2,12.049896265113654,145.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.25,0.0,0.0,0.0,2.0,100.0,2.0,100.0,1.0,8.0,0.0,0.0,Malicious,Bruteforce,Bruteforce DNS,0.99999950000025,0.9999999900000002,0.9999999800000005,9.833128910295546,0.0006238643684983,0.0,0.0
