Protocol,Flow Duration,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Std,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Packet Length Min,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Std,Idle Std,Label,Traffic Type,Traffic Subtype,Fwd_Bwd_Packet_Ratio,Fwd_Bwd_Length_Ratio,Fwd_Bwd_PacketLengthMean_Ratio,Avg_Bytes_per_s,Active_Idle_Ratio,Win_Init_Ratio,cluster
6.0,17129.0,0.0,0.0,0.0,1576.2741549419115,658.8076923076924,2296.550753094401,2664.0,242.18181818181816,578.4945666437703,2808.0,200.57142857142856,455.5440896141861,0.0,0.0,0.0,0.0,384.0,636.0,0.0,625.8571428571427,684.6148262471828,468697.4603174603,1.0,0.0,0.0,6.0,27.0,0.0,0.0,0.0,1.0,649.0370370370371,16176.0,12.0,6072072.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,Malicious,Bruteforce,Bruteforce HTTP,0.7999999466666703,16176000000.0,1348000000.0,315313.2115126394,0.0,0.3259740257623545,0.0
6.0,15726.0,0.0,0.0,0.0,1526.1350629530714,683.7391304347826,3173.900070280487,480.0,48.0,7.498147919467994,3.0,0.25,0.4522670168666455,1.0,0.0,0.0,0.0,352.0,548.0,0.0,647.04,687.3478304323074,472447.0400000001,1.0,0.0,0.0,6.0,24.0,0.0,0.0,0.0,1.0,674.0,14828.0,11.0,30891666.0,0.0,0.0,0.0,0.0,10.0,32.0,0.0,0.0,Malicious,Bruteforce,Bruteforce HTTP,0.8461537810650938,14828000000.0,1348000000.0,314807.7493747085,0.0,0.3614110868528357,0.0
6.0,15480.0,0.0,0.0,0.0,1744.186046511628,595.3846153846155,2464.626544966569,530.0,53.00000000000001,7.571877794400365,2334.0,155.60000000000002,329.60166435086023,1.0,0.0,0.0,0.0,352.0,680.0,0.0,577.7142857142857,679.3281461552511,461486.73015873024,1.0,0.0,0.0,6.0,27.0,0.0,0.0,0.0,1.0,599.1111111111111,14828.0,11.0,27977358.0,0.0,0.0,0.0,0.0,10.0,32.0,0.0,0.0,Malicious,Bruteforce,Bruteforce HTTP,0.6874999570312527,14828000000.0,1348000000.0,319875.1076658053,0.0,0.2968841855985396,0.0
6.0,14887.0,0.0,0.0,0.0,1209.1086182575402,875.7058823529412,2486.7117033520863,271.0,90.33333333333331,40.15387071420803,5107.0,392.84615384615387,1275.4523280098088,0.0,0.0,0.0,0.0,128.0,592.0,0.0,354.7368421052632,609.8539754277488,371921.8713450292,1.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,3.0,374.44444444444446,5392.0,4.0,19896678.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,0.0,Malicious,Bruteforce,Bruteforce HTTP,0.2857142653061239,5392000000.0,1348000000.0,121134.77082913504,0.0,0.2951205171692413,0.0
6.0,15385.0,0.0,0.0,0.0,1624.9593760155997,641.0416666666667,2457.8369861246533,404.0,40.4,9.946523680831074,2993.0,230.23076923076923,604.5749407429645,1.0,0.0,0.0,0.0,352.0,592.0,0.0,622.1538461538461,685.3112397915385,469651.4953846155,1.0,0.0,0.0,6.0,25.0,0.0,0.0,0.0,1.0,647.04,14828.0,11.0,36702970.0,0.0,0.0,0.0,0.0,10.0,32.0,0.0,0.0,Malicious,Bruteforce,Bruteforce HTTP,0.7857142295918408,14828000000.0,1348000000.0,321806.9548261293,0.0,0.2680467089872363,0.0
6.0,14525.0,0.0,0.0,0.0,1170.39586919105,907.8125,1628.254739232573,454.0,151.33333333333334,164.42728889491954,9790.0,815.8333333333334,1552.6350524384686,0.0,0.0,0.0,0.0,128.0,536.0,0.0,374.44444444444446,621.2778314014187,385986.1437908496,1.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,3.0,396.4705882352941,5392.0,4.0,11876651.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,0.0,Malicious,Bruteforce,Bruteforce HTTP,0.3076922840236705,5392000000.0,1348000000.0,124130.80895008608,0.0,0.3272727270602125,0.0
6.0,16801.0,0.0,0.0,0.0,1547.5269329206594,672.04,1503.1202402558042,3214.0,292.1818181818182,645.87410819475,7160.0,550.7692307692307,1123.8101970414573,0.0,0.0,0.0,0.0,384.0,592.0,0.0,649.0370370370368,686.3680040889413,471101.037037037,1.0,0.0,0.0,6.0,26.0,0.0,0.0,0.0,1.0,674.0,16176.0,12.0,5032980.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,Malicious,Bruteforce,Bruteforce HTTP,0.8571427959183717,16176000000.0,1348000000.0,321449.12009205803,0.0,0.0451457178575768,0.0
6.0,4652024.0,0.0,451.0,0.0,0.6448805939092318,2326012.0,1167955.1405435055,0.0,0.0,0.0,1500143.0,1500143.0,0.0,0.0,0.0,0.0,0.0,40.0,64.0,0.0,225.5,260.3849714045212,67800.33333333333,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,300.6666666666667,0.0,0.0,0.0,0.0,0.0,1.0,451.0,0.0,40.0,0.0,0.0,Malicious,Mirai,Mirai DDoS HTTP,0.499999750000125,0.0,0.0,64.8463263875394,0.0,128.89243002212663,0.0
6.0,10980.0,0.0,0.0,0.0,1912.5683060109288,549.0,1400.327969103178,2.0,0.2857142857142857,0.4879500364742666,6849.0,570.75,1424.70922870726,0.0,0.0,0.0,0.0,256.0,524.0,0.0,551.4545454545455,678.3625050897849,460175.6883116885,1.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,1.0,577.7142857142857,10784.0,8.0,5392000000.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0,0.0,Malicious,Bruteforce,Bruteforce HTTP,0.615384568047341,10784000000.0,1348000000.0,328020.64359441405,0.0,0.5480349338995252,0.0
6.0,16641.0,0.0,0.0,0.0,1562.4061054023196,665.6400000000002,2471.791537866142,1679.0,152.63636363636363,306.2382316848348,12343.0,949.4615384615382,3390.409724880476,0.0,0.0,0.0,0.0,384.0,592.0,0.0,649.0370370370368,686.3680040889413,471101.037037037,1.0,0.0,0.0,6.0,26.0,0.0,0.0,0.0,1.0,674.0,16176.0,12.0,9634306.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,Malicious,Bruteforce,Bruteforce HTTP,0.8571427959183717,16176000000.0,1348000000.0,324539.7912785691,0.0,0.4275979553427615,0.0
